,Cities,Bedrooms,Bathrooms,Living Space (SQ FT),Price,Zestimate
350,Dallas,4.0,3.0,1925.0,279900.0,NaN
351,Dallas,3.0,2.0,1866.0,449990.0,458893
352,Dallas,3.0,2.0,1866.0,449990.0,458893
353,Dallas,5.0,4.0,4958.0,2050000.0,NaN
354,Dallas,4.0,5.0,3667.0,1799999.0,1800016
355,Dallas,3.0,3.0,1843.0,999000.0,NaN
356,Dallas,3.0,4.0,3164.0,669900.0,669905
357,Dallas,1.0,1.0,527.0,160000.0,NaN
358,Dallas,3.0,3.0,2378.0,699000.0,654600
359,Dallas,3.0,2.0,1193.0,145000.0,145000
360,Fredericksburg,3.0,2.0,1783.0,490000.0,494500
361,Fredericksburg,3.0,2.0,1742.0,445000.0,NaN
362,Fredericksburg,5.0,5.0,3385.0,3800000.0,NaN
363,Fredericksburg,3.0,2.0,2592.0,850000.0,837787
364,Fredericksburg,NaN,NaN,NaN,3250000.0,NaN
365,Fredericksburg,3.0,3.0,NaN,7250000.0,554100
366,Fredericksburg,3.0,2.0,1594.0,775000.0,566000
367,Fredericksburg,4.0,3.0,2775.0,999750.0,990993
368,Fredericksburg,NaN,NaN,NaN,899000.0,NaN
369,Fredericksburg,NaN,NaN,NaN,1600000.0,NaN
370,Fredericksburg,4.0,3.0,2051.0,589900.0,NaN
371,Fredericksburg,NaN,NaN,NaN,650000.0,NaN
372,Fredericksburg,NaN,NaN,NaN,350000.0,NaN
373,Fredericksburg,4.0,3.0,2831.0,969900.0,961404
374,Fredericksburg,NaN,NaN,NaN,7250000.0,NaN
375,Fredericksburg,3.0,2.0,1568.0,184500.0,177928
376,Fredericksburg,2.0,2.0,1080.0,89000.0,84350
377,Fredericksburg,3.0,2.0,1980.0,239000.0,230887
378,Fredericksburg,5.0,4.0,4535.0,4975000.0,4917809
379,Fredericksburg,3.0,3.0,2466.0,775000.0,747397
380,Galveston,1.0,1.0,657.0,219000.0,212020
381,Galveston,3.0,2.0,1568.0,615000.0,NaN
382,Galveston,5.0,3.0,2130.0,1450000.0,1359375
383,Galveston,3.0,3.0,1720.0,725000.0,713114
384,Galveston,2.0,1.0,1023.0,224995.0,222575
385,Galveston,4.0,2.0,1470.0,320000.0,314489
386,Galveston,3.0,2.0,1364.0,325000.0,313596
387,Galveston,4.0,5.0,3348.0,1200000.0,1090909
388,Galveston,1.0,1.0,578.0,159900.0,153405
389,Galveston,3.0,3.0,2691.0,417105.0,407094
390,Galveston,3.0,2.0,1748.0,270940.0,264506
391,Galveston,2.0,1.0,1656.0,255100.0,NaN
392,Galveston,3.0,2.0,1673.0,759000.0,736745
393,Galveston,6.0,NaN,3598.0,945000.0,908712
394,Galveston,3.0,2.0,1922.0,899000.0,880527
395,Galveston,2.0,1.0,1120.0,599000.0,589679
396,Galveston,4.0,3.0,2655.0,1450000.0,1329756
397,Galveston,4.0,3.0,2105.0,549900.0,535236
398,Galveston,2.0,1.0,1424.0,331900.0,323049
399,Galveston,4.0,2.0,1492.0,579000.0,NaN
